タイトル,レビュー,カテゴリー,星数,参考になった数
あっと言う間に喫茶店のコーヒー,"あっと言う間に喫茶店のコーヒー
で今までは手挽きでコーヒー豆を挽いてポタポタお湯を垂らす手間暇かけてましたが、たった10分足らずで全てを完了させ、おまけにリビングをあっと言う間にコーヒーの香りで満たしてくれます。おまけにコーヒー豆本来の適度な挽き具合とお湯との會合はゼツ味な味わいを引立てて充分な朝のひと時を過ごせております。最高！
カスタマー画像カスタマー画像

 ","1,2",5.0,5
コーヒーがうまい,"コーヒーがうまい
豆から簡単にうまいコーヒーがのめます
",1,5.0,2
毎日使ってます！！おいしいコーヒーに満足(^^♪,"毎日使ってます！！おいしいコーヒーに満足(^^♪
デザイン、使いやすさ、手入れのしやすさにおいてすべて満足しています。
タイマー機能は正直よくわかりません。
味については、正直豆が良いのか、マシンが良いのか。。。
他の製品を使ったことがないのでよくわかってません。
毎日自宅でおいしいコーヒーをいただいております。

とにかく、私はこのマシン１択です。
別でハンドドリップ用の道具もありますが、１度全自動使うと、全自動ばっかりになってしまいました。
",1,5.0,4
清掃性が良く衛生的,"清掃性が良く衛生的
購入の観点は清掃性と使い勝手が良いこと！
豆と粉でも対応出来ること
",1,5.0,7
簡単且つ手入れが容易,"簡単且つ手入れが容易
手入れのし易さはとても良いと思うが、豆の挽き方には不満が有る。自分に合った粒度にならない。結局豆を別で挽いて粉を入れて使っているが、私にとって豆を挽く機能が無駄で粉を挽いた後の手入れが非常に簡単という機能が活かせない、残念。
",1,3.0,2
使いやすい,"使いやすい
価格も高くなく気軽に使えるところが良いです
使いやすく洗いやすいので毎日使ってます
前のモデルは3年でモーターが回らなくなり本製品へ買い替えました
","1,2,3",4.0,4
美味しいマイルドなコーヒーが作れます,"美味しいマイルドなコーヒーが作れます
長年同じメーカーの物を使っています。
新しい機種になる毎美味しいコーヒーが頂けます。
今回気に入ったのはマイルドなコーヒーが作れる事です。
",2,5.0,3
コーヒーを楽しんでいます。,"コーヒーを楽しんでいます。
全自動なので助かります！
",1,4.0,2
良い👍‼️,"良い👍‼️
豆から挽きたてを飲めるのは最高！音は確かにうるさいけどしょうがないかな？
洗浄するパーツも沢山あるけど慣れれば問題なし！ただ…保温するところの溝に豆の粉が入り込んで掃除が大変(>_<)💦それ以外は満足です！
カスタマー画像カスタマー画像
",1,4.0,12
安定のロングセラー,"安定のロングセラー
８年使用したA56から残念ながら退役宣言が出てしまい、急ぎ購入。デカフェ対応の追加以外機能には別段アップデートなしなのでスムーズに移行しました。でも、嬉しい改良点がありました。一つはミル回転時の音質が少し低くこもる感じなって音量も若干下がったこと。二つ目は、紙フィルターをセットするバスケットの形状サイズが少し小さくなり市販の紙フィルターがほぼピッタリセットできるようになったこと。小さいポイントのようですが毎日使うのでよろこんでいます。
","1,2",5.0,7
使い勝手の良さで選びました,"使い勝手の良さで選びました
コーヒーメーカーの買い換えにあたりシロカ社製と最後まで迷いました。
決め手になったのはシロカのレビューで給水タンクが使いにくいとあったことでした。

毎朝コーヒーをいれるので使い勝手がよくないとストレスになるかなと。
実際に持ち手を引き上げればすぐに外れるのは、水を注ぐにも洗うにもやはり使いやすいです。
タイマー機能はありませんが、豆は冷蔵庫に入れてその都度セットする方が
新鮮で良い気がするので自分には全く問題ありません。
毎日使う道具なので、何のストレスもなく使えるのが一番です。
味ももちろんおいしいです。豆をいろいろ試しながら味の違いを楽しんでいます。
","1,2",5.0,9
使っていれば要領が得ます。,"使っていれば要領が得ます。
投稿見て購入する事躊躇しましたが、投稿者が言っている事も『あー、このことか』と理解できましたが、使い慣れるときにならなくなりました。（引いた粉が出てしまうこととか）豆から引いたコーヒーは美味しいです。
",1,4.0,7
なかなかいい商品,"なかなかいい商品
豆を多くストックできるのが良い。逆にケトル部注ぎにくく洗いにくい。1年ほど使っているが特に問題なく使用できている
",1,4.0,2
フィルター掃除がいらないので楽です。,"フィルター掃除がいらないので楽です。
フィルターを熱湯で自動洗浄しながらコーヒーを落とすので掃除が楽で大変満足してます。
",1,5.0,6
ヘビロテ,"ヘビロテ
簡単な手間で美味しいコーヒーが飲めます。
",1,5.0,2
もう何台目かわからない,"もう何台目かわからない
コーヒーメーカーでミル機能の付いているのはこれが1番です。今までのものよりスイッチの場所がわかりにくく、何度か間違いました。暗闇でも操作できる自信があったのですが、ちゃんと見ないとスイッチ小さくなったのかな？それと水入れにメモリのサポート用に色変えてありますがかえって見にくいです。透明の方が良かった。星一つ減らしました。タイマー機能はついてないです。
","1,2",4.0,6
音がデカい,"音がデカい
味、お手軽さ、手入れのしやすさは非常に良かったです　かなり音が大きかったです
中古だったのか、計量スプーンが入ってなかったのが残念
","1,6",4.0,5
便利なコーヒーメーカー,"便利なコーヒーメーカー
数年前に自分用に購入し、使って大変気に入っているので、今回は姪の結婚祝いに購入しました。
",4,5.0,1
あふれる,"あふれる
うちも最近毎回溢れて困ります。どうしたらいいんでしょう？

4年使いましたが、最初の方から溢れて、最近ほんとにひどい

あふれる以外は使えるのですが、2回に1回あふれるので買い替えようと思います。注意してください。
カスタマー画像",1,5.0,0
部品が不足していました,"部品が不足していました
中古品(ほぼ新品)「付属品完備」とあったので、良い品がお安くで注文出来た！と喜んでおりました。

予定通りに到着して開梱してみましたら付属しているはずの「粗びき用メッシュフィルター(緑色)」がどこを探しても、存在していません。

茶色い方の「中細びき用メッシュフィルター」はあらかじめ装着してありましたので、普通に使用できることは確認しました。

製品自体は良い物ですが、記載どおりの「付属品完備」ではなかったのでがっかりしました。
カスタマー画像カスタマー画像
",6,2.0,1
これ以外,"これ以外
考えられない
",5,5.0,6
コーヒーうまー,"コーヒーうまー
豆ひく工程からコーヒー作るの楽しい
豆ひく時の音がかなりうるさいけど
それ聞きながら「うるせー」って家族で笑い合うのも良いね。
","1,4",5.0,6
旧製品から乗り換え,"旧製品から乗り換え
毎日２～３回使う身としては早く届いて欲しかった点とキッチン回りの収納スペースから考えても同じメーカーのほうがよろしいかと思い旧商品から乗り換えましたが全体としてコンパクトになった気がします
以前より味が少し薄めに出るところは変わっていませんが
7年間も毎日働いてくれた旧モデルに愛着もあり同じパナの商品に決めました
","1,2",4.0,15
後続機への交換です。豆を挽く音が小さくなった,"後続機への交換です。豆を挽く音が小さくなった
豆を挽く音が小さくなったのが一番の収穫です。
後はそう変わらないかな！
","1,2",4.0,13
良い品です,"良い品です
さすが　パナソニック商品です。
",5,4.0,8
簡単！使いやすい,"簡単！使いやすい
毎朝使っています。引き立ての豆の香りも出しやすく、気分の良い1日を迎えられます。フィルターのセットを失敗すると溢れることがあるので、要注意です。
",1,5.0,6
ミルの時はうるさいかなあ,"ミルの時はうるさいかなあ
気に入って何ヶ月も使用しています。
豆を引く時はうるさいかな？仕方ないのかもしれませんが…味は普通に美味しいです。大きさは少し大きいかな？もっとコンパクトだといいかな？と思っています。
",1,5.0,5
便利,"便利
シンプルで便利です
",1,5.0,2
中古で購入でも,"中古で購入でも
新品を買うより新古ですね。
綺麗だし何の問題も無く使用出来てます。
丁重なお礼状にも感動しました。
",6,5.0,2
美味しくできる,"美味しくできる
使いやすさと味で大変気にいっています。
色んなメーカーがあって、どれにしようかと悩みましたが、日本のメーカーと価格で決定！
正解でした。
安いコーヒー豆は美味しく
高いコーヒー豆はより美味しくなります！
","1,2,3",4.0,11
残念です😢,"残念です😢
何度やっても出来上がりのコーヒー量が入れた水の量より少なくなるので、確認したところ、底から水漏れがあることが分かりました。これでは使えないので大変残念ですが返品させていただきます。",1,2.0,0
簡単,"簡単
簡単で使い易いコーヒーメーカー
",1,4.0,5
商品として良いです,"商品として良いです
タイマーはついていません。個人的には、手作業の方が早いし、洗う手間も少なくていいと思います。商品は良いものです。
",1,4.0,9
水が入れにくいのが,"水が入れにくいのが
使用時の水の補給量が見えにくいので入れにくい。
",1,4.0,7
重宝してます,"重宝してます
洗うのが楽。ちょっと音にはびっくりするけど、お店でコーヒーを買うのが減りました。数種類の豆を購入し、毎回違う味を楽しんでます。
","1,4",5.0,2
オートミールで楽チン！,"オートミールで楽チン！
先ずオートミールで楽チン！
自動洗浄も結構綺麗になりイイと思う。
作動音については個人差があると思うが私には許容範囲！
味わい、香りについてはソコソコかな✨
",1,4.0,4
洗浄が簡単です。,"洗浄が簡単です。
今まで違うメーカーを数台使用したけど洗浄が面倒だったり部品の汚れが落ちなっかたりしたので処分しました。
今回初めてPanasonic沸騰浄水コーヒーメーカーを購入しました。
今回のこの商品は洗浄が非常に楽で、部品のセットも簡単でした。
操作も取説を読んですぐ理解できました。
コーヒーの味も美味しかったです。
今後はコーヒー豆を変えて味を楽しみます。
後一つ注意があります。
本体を傾けると水容器の下に溜っている部分から水が溢れてきて床が汚れます。
これはメッシュフィルターの取り付けを確認する為に本体を傾けたものです。ご注意下さい。
この商品は素晴らしいです。買って損はありません。
","1,2",5.0,9
長年使い続けています,"長年使い続けています
この機種がキャリオカという名前が付いていた頃に購入して以来、買い回して使い続けているコーヒーメーカー。これで4台目ですが、お手軽なのにおいしいコーヒーができるスグレモノだと思います。今回また新しい工夫が加わっていました。カップに注ぐときに滴れにくくなくなったことやお湯の噴き上げが再度見えるようになったことなど、より良いものを作ろうとするメーカーの熱意や愛着を感じて嬉しくなりました。
","1,2",5.0,4
現行の全自動コーヒーメーカーの中でダントツの一番です,"現行の全自動コーヒーメーカーの中でダントツの一番です
巷で売られている全自動コーヒーメーカーの中で最も素晴らしい逸品です

あまりよろしくはないとは思いますが
水を入れる→前日のコーヒーカスをペーパーごと捨てる→軽くすすぐ→新しいペーパーをセットする→水とコーヒー豆をセットする→ボタンを押す
この流れで毎朝職場に持っていくためのコーヒーが出来上がります、慣れてくればボタンを押すまでに2分はかかりません
これを導入する前までは豆から挽いてバンドドリップしていたので15分くらい掛かってましたが、相当な時間を節約出来てます

味はハンドの方が確かに良いですが、香りは挽きたてなので遜色ありません

朝の缶コーヒーでは量も質も物足りなく、毎日コンビニコーヒーを買っている様な方は、水筒とセットで買っても半年で元が取れると思います
全カフェイン中毒者に自信を持ってオススメ出来る逸品です
","1,4",5.0,20
安定感ある タイマー無し問題無し,"安定感ある タイマー無し問題無し
十年以上使えたパナソニックのコーヒーメーカーを買い換えるのに、悩みに悩んだ末、またパナソニックの同じタイプの更新版にしました。
理由は安定感 安心感 衛生的
トラブルになるのは、紙フィルターがうまく出来てないときに、あふれ出すことがあること。紙フィルター無しだと引き豆かすを捨てるとき粉が散乱して無駄に手間取るし、タイマー式や豆貯蔵式も欲しいときすぐ出来るのはいいが、豆が傷むのでやめました。オフィスとか大家族でバンバン使うならともかく、3人なので。
タイマー式もセットしたまま放置しておくならと今の我が家スタイルには必要なかったです。
それより豆をひいたあとに自動洗浄でミルを流してくれ衛生的で、コンパクトなので、
安定感安心感があります。
マイナーチェンジはしてますが、ほぼ同じ機構で何十年と変わらずあることからも機械としての完成度が高いことが分かります。
","1,2,4",4.0,21
タイマー機能はありません。,"タイマー機能はありません。
ミルの音とコーヒーの香りで目覚めたいと思い全自動コーヒーメーカーを探していました。
しかしあれこれ悩みすぎて「やっぱり日本のメーカーが安心よね」と購入したところタイマーがついていませんでした。
パナソニックだから至れり尽くせりだと思い込んでしまったようです。

パナソニックは好きですが見た目が好みではなかったので、タイマーなしと気づいていれば絶対に他を選びました。

使い勝手としては、水を入れるタンクが透明じゃないのでどこまで入っているのか見えにくいです。
ミルの音はそれほど大きくなく短時間なので気になりません。
",1,3.0,7
美味しくいただいています,"美味しくいただいています
豆を挽く音が大きいです。最初はびっくりしました。早朝に使うのでもう少し静かだと申し分ないですが、、、
掃除もしやすい方だと思います
",1,4.0,8
長年このシリーズを使ってます。,"長年このシリーズを使ってます。
カスタマー画像
",8,5.0,2
おいしい。,"おいしい。
長年、この機種ばかり愛用しています。使いやすいと思います。毎日3杯以上は飲んでしまう。
豆も決めていて、他のコーヒーは飲みません。
前のより、すこーし味が薄くなったような…
濃いのが好きなので、マイルド機能は使いません。
","1,2,4",5.0,2
満足な買い替え,"満足な買い替え
NC-A55を利用も、挽分が出来て味を楽しめるNC-A57へ。

利用はA55と同じなので、使い勝手に問題なし。
お手入れ、利用後はパーツを洗浄、本体を拭いて大きな汚れを取る、衛生面に問題はありません・・・
豆・粉利用にしても頂上からお湯が落ちるので、ミル部分は常に洗浄できるのもいい。

豆を一袋分セットできるマシンも便利ですが、その都度で好きな豆・粉をセットして利用できて洗浄も出来る、よく出来たコーヒーマシンかと思います。

ガラスサーバー蓋のソフト選択で落とすと、コーヒー特有の酸味のカドが取れる、味がやや丸くなるので飲みやすいコーヒーが淹れられます。

A55と比べて。
コーヒー豆の性格がより明確に出る感じで満足です。
音は静かになった、2度目のミル洗浄・A55と比べ音はとても静か（こもる感じ）になっています。

あと、気に入っている部分として、本体以外のパーツ類が手に入りやすいこと。
汚れ・破損、洗浄するパーツ部分の大半が公式HPから手に入り、数年経過し交換パーツ類を一新することも可能で、長く利用することが可能です。
A55は使わない期間もありましたが、パーツ交換しながら約10年は使えまだ十分に現役です。

利用トラブル、これは個人的な経験からですが、
本体に装着する「挽分フィルター」をカチっと正しく装着されていないと、挽かれた粉が穴に汚れとして残りやすく詰まりの原因になりやすいかと思います。

ドリップしているといきなり溢れた事がありました。
ミル部分に豆が中途半端に残る・小さな塊があったり、よく確認すると挽分フィルターが本体にきちんと装着されていないのか、粉で穴が汚れて目詰まりしていました。

あと個人的なミスですが、紙ペーパーフィルターのセットを忘れた際、ドリップ容器に粉が目詰まりし溢れて大惨事になりました。
規定外の紙フィルター、フィルターにメッシュ品を使うとか、独自利用の仕方をするほどトラブル率は高くなるかもしれません。
","1,2,4",4.0,9
思った以上に！,"思った以上に！
レビューを拝見して、お手入れが大変かもと思いましたが期待以上に良かったです、慣れてくると普通のドリッパーと変わらず使いやすいです、味は少しマイルドな感じに思います美味いです。
",1,5.0,3
余計なことをしない「全自動」コーヒーメーカーの大本命！,"余計なことをしない「全自動」コーヒーメーカーの大本命！
20年来の相棒だったNational製NC-A25からの買い替えで、大(体)満足。

他社製品で1杯用とか2杯用とか、勝手に豆計量してできるようにしてるのがあるけど、その度フィルター掃除とかわたしの中では全自動とは言わない。
あとお湯が注がれるのが横から見れます、とかあるけど、そんなの見たい人は全自動買わないで自分でネルドリップすると思う。
その点こいつは放っておいてもわたし好みのコーヒーが「全自動」でできます。大(体)満足だけど、次の点は直した方がいいなぁ。

まず全自動は”豆”から入れたいから選ぶと思うけど、何故か”粉”コースがある。しかも”豆”と”粉”ボタンが同じ大きさで表示の仕方も同じ。朝方の台所で寝ぼけ眼では区別できないのが不満。ボタン大きくするとか色分けするとかはっきりして欲しい。
次にフィルター上蓋。この蓋をフィルター内側にキチンと入れないとコーヒーがあふれて悲惨になるのだけど、それ防止用なのか”つまみ”が追加された。でも穴に指かけてきっちりフィルターにセットするのでこんなつまみいらない。
水タンクにフィルターがついているけれどこんなの不要。全自動選ぶような人は浄水器か美味しい水を使っていると思う。
コーヒーの仕上がりコースが”リッチ”と”マイルド”と”デカフェ豆”、フィルターで”粗びき”と”細びき”、ポットの蓋のレバーで”ストレート”と”ソフト”といろいろ選べるけれど、そんな細かいセレクションはいりません。濃くしたければ豆を多くするし薄くしたければその逆やります。

文句が多くなったけど、私にとっては唯一無二の全自動コーヒーメーカー。朝フィルター、豆、水セットして、顔を近づけて”豆”ボタンをポン！　自分好みのコーヒーが自分の好きなように”全自動”でできる。

全自動コーヒーメーカーのある意味完成形だと思います。　買いです！
","1,2",5.0,35
5代目くらいでしょうか。少しずつモデルチェンジして進化しているようですが。,"5代目くらいでしょうか。少しずつモデルチェンジして進化しているようですが。
豆をひいて粉は垂直に落ちます。ドリップしながらしっかり洗浄します。よく出来ています。
が、毎日使ってミルが５年で寿命がきます。
なので粉で使えばもっと寿命は延びるのでしょう。
",1,5.0,12
誕生日に,"誕生日に
誕生日プレゼントに購入。とても喜んでくれて買ってよかったと思いました！",4,5.0,0
2代目です,"2代目です
豆や粉によって、淹れ方を調整できます。
自分好みにできるので大変満足してます。
4、5年使ってミルが壊れて、デロンギとかに手を出そうと思いましたが、同じのを買い直しました2代目です。
",1,4.0,9
時短便利美味しい,"時短便利美味しい
忙しい朝でも挽きたてのコーヒーを手早く作ることができます。掃除も楽で３分くらいで終わります。
２時間の保温機能もついていて、休日ゆっくりと温かい挽きたてのコーヒーを楽しめて、とても重宝しています。価格変動が結構あるので、安い時に迷わず購入をお勧めします。自分は、16000円で購入できて嬉しかったです。
","1,3",5.0,13
コーヒーは美味しいけど,"コーヒーは美味しいけど
水を入れる時に水容器を取り出すのが面倒です。背面にあるため取り出しにくい。取り出す時に取ってもなくて、どこを持てばいいのかわからない。
豆から入れる時の音がかなり大きい。
出来上がったコーヒーは美味しいので、今後の改良を望みます。
",1,3.0,4
後片付けが楽で、簡単においしい,"後片付けが楽で、簡単においしい
これで、4台目になります。初期型からそんなにかわりません。お手入れが楽で、おいしいです。追加して欲しいのは、ガラスポットをステンレス保温ポットにしてほしいのとタイマー機能が欲しいです
","1,2",4.0,7
三年間毎日と言って良いほど使っていますが安定したおいしさです。,"三年間毎日と言って良いほど使っていますが安定したおいしさです。
三年間毎日と言って良いほど使っていますが安定したおいしさです。故障も無く気に入っています。
",1,5.0,9
このコーヒーメーカーが1番です！,"このコーヒーメーカーが1番です！
このコーヒーメーカーが1番
ちゃんとお湯で蒸らしもしてコーヒーを入れてくれます
他のコーヒーメーカーは水で入れるのが多いそうです
20年以上コチラのコーヒーメーカーを使ってます3代目で持ちも良いです
カスタマー画像
","1,2",5.0,9
急いでいる朝も美味しいコーヒーが飲める,"急いでいる朝も美味しいコーヒーが飲める
しっかりした美味しい味がでる。買ってよかった。洗うにもそんなに手間がかかりません。
",1,5.0,6
コーヒー淹れが楽になった,"コーヒー淹れが楽になった
掃除もある程度自動で行えるしなので、とても便利です。味も濃さが若干低いけど、豆を選べばそれもカバーできるので満足。個人的にはイタリアンローストの濃いめのものを使うのがお勧めです。
",1,5.0,8
美味しいコーヒー,"美味しいコーヒー
10年ほど前のものが壊れたように音がしてきたので購入しました。パナソニックのコーヒーメーカーが近くの家電量販店になかったので、どうしようか考えました。アマゾンで検索したら、進化したものになっていたのを購入しました。次は何年壊れずにつけるかも楽しみです。
",8,5.0,7
メーカー品なので購入,"メーカー品なので購入
豆挽きの音がデカいです。
良くも無く悪くも無くです。
",1,4.0,5
とても重宝しております( ^ω^ ),"とても重宝しております( ^ω^ )
とても重宝しております( ^ω^ )
",5,5.0,1
【動画あり】音が気になる方はどうぞ,"【動画あり】音が気になる方はどうぞ
最後までsiroca社製のコーヒーメーカーと悩みましたが、最終的にこちらの商品にしました。

結果として、大満足です。

【良かった点】
妻が妊娠中のため、デカフェモードがあることでデカフェ豆がとても美味しく飲めるので重宝しています。

手入れも部品を外して丸洗いするだけなので、非常に楽ちん。

ミル機能はプロペラ式だったことが気がかりでしたが、

今の所挽き残り等のトラブルもなく良好です。

音はたしかに大きいですが、個人的に許容範囲です。

気になる方はレビュー動画を参考にしてください。

sirocaで問題であるコーヒーサーバーの漏れ問題ももちろんありません。

【改善してほしい点】
他の指摘にもあるように、若干薄めに抽出される傾向にあります。

例えば、”マグカップ２杯”の水量を入れているはずなのに、実際には

サーバーには”マグカップ2杯強”のコーヒーが抽出されます。

給水タンクに入れた以上の水は生まれるはずはありませんので、

給水タンクの給水ラインは多めに設定されているということになります。

これが非難を受けている原因ではないでしょうか？

私は濃い目のコーヒーが好きなため、豆の量を増やしたり、水の量を減らしたりして対処しています。

逆を言えば、その程度の対策で解決する問題なので、個人的には些細な問題でした。

次モデルでは改善されるといいですね。

あとは、「予約機能」がないこと。

「朝起きたら香ばしいコーヒーの香りで目が覚める・・・」という夢のシチュエーション

（実際は寝室で抽出するわけではないし、夏場は豆が湿気やすいなどの問題はありますが・・・）

を実現するためには、やはり欲しい機能です。

高い買い物で現状で大満足ですが、次世代モデルでは搭載されるといいですね。

最後に一点だけ、残念だったことが。

本商品はフィルターの蓋が閉じていなかったりすると警告音がなりますが、

粗挽きフィルターと細中挽きフィルターの設置有無に対してはなぜか警告音がなりません。

そのため、万が一フィルターをつけ忘れると、周囲にコーヒーの豆が飛散します。

そして機械の中も周りもコーヒーまみれ・・・掃除をするときにポッドの底のヒーターでやけどをするなど・・・

散々な目にあってしまいました。

警告音の機能をつけるなら徹底してほしかったなぁ・・・。

以上、長文でしたが、読んでいただきありがとうございました。
","1,2,4",5.0,285
保温が便利,"保温が便利
保温時にコーヒーが煮詰まってしまうのがイヤでこちらを購入。
使い方もシンプルで使いやすいです。
他のコーヒーメーカーのように多機能ではありませんが
アイスコーヒーも簡単にできるのでコーヒーを大量に飲みたい人にはいいと思います。
コーヒー抽出後もステンレスボトルに直接入りますしボトルの保温が思ったより長く
煮詰まることも無いしボトルだけで移動もできるのでこれが一番便利でした。
掃除はボトルの蓋が多少掃除しにくいですがそこを気にしなければいい商品だと思います。
","1,2,4",4.0,1
お気に入りです,"お気に入りです
以前もサーモスのコーヒーメーカーを使っていたのですが8年目に突然壊れて迷うことなく後継機種を購入しました
夏場はアイスコーヒー作りに大活躍です
以前のコーヒーポットも使えて非常に便利です
冬場はポットをあらかじめ熱湯で温めてから使っています
その方がさらにあたたかさが持続します","1,4",5.0,0
サーモスコーヒーメーカー,"サーモスコーヒーメーカー
コンパクトで、少ない量のコーヒー河飲める。",1,4.0,0
普通に使えます,"普通に使えます
アウトレット品で購入したので、本体だけプチプチで包まれていました。
ちょっと、びっくり。でも本体は使用感もなく無難に使えて満足です。
サーモスのポット部分はさすがに保温性が高く６時間はあったかです。
","1,6",4.0,1
安定の品質,"安定の品質
タンク一体型の旧型がスィッチ故障で壊れたので買い替えました
電子式スィッチ、水タンク取り外し、ポットの注ぎ口形状と安定感
各所キメ細やかに改善されていて感動でした
","1,2",5.0,1
とても良いです,"とても良いです
とにかく簡単。粉と水をセットするだけでコーヒーが入る。入れたあとは保温しないので煮詰まることなくいつでも美味しいコーヒーが飲めるのが良い。後片付けも簡単で毎日美味しいコーヒーを堪能できる。
",1,5.0,1
よき,"よき
朝に作って、夕方まであったかいコーヒーが飲めていいです。
",4,5.0,1
保温が良い,"保温が良い
電気で保温しないので煮詰まらなくて良いと思います。
容量がもう少し多いと更に良いです。",1,5.0,0
使用、カンタン,"使用、カンタン
簡単に使用でき、とても気に入ってます。シンプルでいいですね。",1,5.0,0
手軽に使えるのが良い,"手軽に使えるのが良い
手軽に美味しいコーヒーが直ぐに飲めるのが良いです
",1,4.0,1
抽出前に蒸らし段階があって，美味しく淹れられます,"抽出前に蒸らし段階があって，美味しく淹れられます
ポットが魔法瓶のタイプで容量が大きめのものを探していて，この商品を見つけました．ガラス製で底を温めるタイプは，長く置いておくと煮詰まってしまうからです．

保温力も高くて，さすが魔法瓶のメーカーなのですが，嬉しい誤算は，抽出を始める前に，蒸らし段階（少量ドリップしてドリップが一時停止する）があって，しっかりとコーヒーを抽出してくれます．他の普通のコーヒーメーカーだと規定量の豆でとても薄いコーヒーになってしまったのが，この蒸らし段階のおかげか，ちゃんとしっかりした味のコーヒーが出来ました．

濃さの調整機能はないので，豆の量で調整するしかありません．タッチパネルの操作性もよく，ピッという音で反応もいいです．タイマー設定も簡単です．押しボタンでないので，フラットで汚れにくいと思います．また，魔法瓶の蓋部分も分解して洗えるように説明書に書かれているのも良いと思います．以前に使っていたものは分解できず，長く使っていると，内部にコーヒーカスのようなものが溜まってきても掃除できませんでしたが，この商品だと清潔に長く使えそうです．この価格で大満足です．
","1,3,4",5.0,3
背が高い,"背が高い
たまにもれます。",1,4.0,0
保温ポットは暖かい,"保温ポットは暖かい
保温ポットで保存するので暖かいままのコーヒーが楽しめます。
コーヒーメーカーにセットしたままですと、注ぎ口が空いたままになるので酸化や冷えるのが早まります
入れ終わったら、コーヒーメーカーからポッドを外しておくことをお勧めします。
また、ポッドを外すとコーヒーフィルターの部分から水分が垂れるので
コーヒーフィルターもなるべく早く捨てたほうが良いです。
",1,5.0,1
届いて少し驚いた,"届いて少し驚いた
結構大きかったので少し驚きました
結果使ってみて
簡単にアイスコーヒーが作れる　
意外に美味しい
値段が安いので
購入して良かったかなぁ","1,3",3.0,0
液漏れはメーカー対応で,"液漏れはメーカー対応で
保温ポットへドリップするエコな製品。
これは良いぞ！と購入しましたが、数回使用していたら、ドリップ終了後にポット底部にコーヒーが垂れるようになりました。
ここのクチコミを見て、まず先にポットをセット→ドリッパーをセットして｢カチン｣と音するまで押し込む(ドリッパーの液ロック機構の音)。で対策しましたが、それでも量は減るものの漏れは残りました。そこで本体の後部(水タンク側)の底にスペーサー挿入して少し傾斜付けてみたら、漏れが止まりました。恐らくポットの受け口とドリップから流れる液の向きとかが影響してたんではないか、と推察します。
とはいえ、これは正しい使い方ではないと思ったので、取説のお客様相談窓口へ電話。
新品交換対応となりました。
電話の際に、製造番号を確認してと言われたので、恐らくメーカーも不良は把握してるんだろうと思います。
困ってる方は是非電話してみてください。保証期間中なら対応してもらえると思います。
直りさえすれば、とても良い製品だと思います。
",1,4.0,11
ちょい見えにくい,"ちょい見えにくい
このシリーズ１６年製のを永らく愛用してました。そちらを大学生の息子にあげて、我が家は新調しました。
水を入れるとインジケーター(なんて言えないけどね、ただ水の量が見えるだけの窓)が前のより見えにくくなってしまった…😂
設置場所によってはかなり覗き込まないと見えん‼️
そこだけが使いにくいので星は4⭐️ね。
","1,2",4.0,5
二代目,"二代目
前モデルECF-700のスイッチボタンが、コーヒーを落とし終わっても切れなくなり買い替えです。ポットは同じなので使い回せます。ただスイッチパーツが同じようで改良されてなさそうなのがちと心配。","1,2",5.0,0
難点,"難点
終了音があればいいのと給水タンクが取り外せたらと思う。",1,3.0,0
おいしいコーヒーが手軽に作れる,"おいしいコーヒーが手軽に作れる
値段が安い。手軽でおいしくコーヒーが作れる。保温性もバッチリです。
","1,3",4.0,1
保温性重視,"保温性重視
スイッチをONにするとあっという間に出来上がります。もう少しゆっくりお湯が出れば美味しいコーヒーができあがるのかな？出来上がりのコーヒーは手入れと違いあまり美味しいとは言えません。３人家族で皆朝のコーヒーは欠かせませんが、容量が思ったより少なく、またお水の注ぎ口が小さいので水が入れにくい。３人共飲む時間がバラバラなので保温性が高いのはありがたいが、ポットの口が小さいので洗いにくい。
","1,4",3.0,2
直ぐにコーヒーが飲める　水の量がわかりにくい,"直ぐにコーヒーが飲める　水の量がわかりにくい
粉になったコーヒーを3角形の濾紙に入れて水を入れるだけで直ぐにコーヒーが飲めます。ただし水がどの程度入っているかを示すインジケーターが同じ黒色が少し黒くなるだけで非常に見にくい。水の注ぎ口も少しやりずらい。時々こぼれて漏れて、あわててふき取った。
",1,4.0,3
5に近い4,"5に近い4
入れたホットコーヒーは30分経ってもポットの中で美味しい温度をキープしています。これは5。でも入れている時に全くコーヒーの香りがしない。抽出時の香りもコーヒーの楽しみなのでその点は3です。
",1,4.0,8
うま〜い,"うま〜い
サタプラを見て自分に合ってるコーヒーメーカーとして購入、思いの外美味しいコーヒーが出来ます。いい買い物でした。
カスタマー画像

 ",1,5.0,2
蓋,"蓋
上の蓋止めることできない抑えればパチンと音がするが止まらないななか方法があるか教えて下さい ",1,3.0,0
ほったらかしでＯＫ,"ほったらかしでＯＫ
去年の秋から冬になる頃に買ってやっとこの夏明けました。
普段からアイスコーヒーはグラスに氷を入れて、ドリップしていたのですが、朝は蒸らしてからドリップしている時間がなく、お湯を一気に入れてしまったり、味にばらつきがありました。
これは分量の豆を入れ、水を入れてポットに氷を入れてスイッチオンでほったらかし。しっかり蒸らされ出来上がったアイスコーヒーはとても美味しく感じました。毎日同じ味で安心です。豆を変えて楽しみたいと思います。
難点は水を入れる部分が入れづらいと思います。ペーパーをセットする場所、水を入れる場所の色が真っ黒なので、境目がよく分かりません。汚れも分かりづらいと思いました。","1,4",5.0,0
